category,value,description
age,1,bis 20 Jahre
age,2,21-30 Jahre
age,3,31-40 Jahre
age,4,41-50 Jahre
age,5,51-60 Jahre
age,6,mehr als 60 Jahre
manager_age,1,bis 20 Jahre
manager_age,2,21-30 Jahre
manager_age,3,31-40 Jahre
manager_age,4,41-50 Jahre
manager_age,5,51-60 Jahre
manager_age,6,mehr als 60 Jahre
gender,1,weiblich
gender,2,männlich
gender,3,divers
manager_gender,1,weiblich
manager_gender,2,männlich
manager_gender,3,divers
tenure,1,< 1 Jahr
tenure,2,1-3 Jahre
tenure,3,>3-6 Jahre
tenure,4,>6-9 Jahre
tenure,5,>9 Jahre
Zusamm,1,< 1 Jahr
Zusamm,2,1-3 Jahre
Zusamm,3,>3-6 Jahre
Zusamm,4,>6-9 Jahre
Zusamm,5,>9 Jahre
Arb_Verh,1,Praktikant/in
Arb_Verh,2,Student/in
Arb_Verh,3,Angestellte/r (Vollzeit)
Arb_Verh,4,Angestellte/r (Teilzeit)
Arb_Verh,5,Selbstständig
Arb_Verh,6,Rentner/in
Arb_Verh,7,Sonstiges
Groe,1,bis 20 Mitarbeiter
Groe,2,21-50 Mitarbeiter
Groe,3,51-100 Mitarbeiter
Groe,4,101-250 Mitarbeiter
Groe,5,251-1000 Mitarbeiter
Groe,6,1.001-10.000 Mitarbeiter
Groe,7,> 10.000 Mitarbeiter
Branche,1,Automobilindustrie
Branche,2,Baugewerbe
Branche,30,Beratung (allgemein und strategisch)
Branche,31,Beratung (technisch)
Branche,4,Bildung und Weiterbildung
Branche,5,Chemische Industrie
Branche,21,Dienstleistungen
Branche,6,Energiebranche
Branche,7,Finanzdienstleistungen
Branche,8,Gesundheits- und Sozialwesen
Branche,9,"Handel, Instandhaltung und Reparatur"
Branche,10,Immobilien
Branche,11,IT oder Telekommunikation
Branche,12,Kunst und Kultur
Branche,13,Logistik und Verkehr
Branche,14,Metallindustrie
Branche,15,Maschinenbau
Branche,16,Nahrungsmittelindustrie
Branche,17,Öffentliche Verwaltung
Branche,18,Pharmazeutische Industrie
Branche,22,"Prüfung, Inspektion und Zertifizierung (TIC)"
Branche,19,Textilindustrie
Branche,20,Sonstige Branchen
Job,1,Controlling
Job,2,Logistik
Job,3,Qualitätsmanagement
Job,4,Einkauf / Materialwirtschaft
Job,5,Marketing
Job,6,Rechnungswesen & Finanzen
Job,7,Forschung & Entwicklung
Job,8,Mergers & Acquisitions
Job,9,Restrukturierung & Sanierung
Job,10,General Management
Job,11,Personalmanagement
Job,12,Vertrieb
Job,13,IT
Job,14,Produktion
Job,15,Supply Chain Management
Job,16,Verwaltung
Job,50,Sonstiger Bereich
collar,1,Hauptsächlich körperliche Arbeit
collar,2,Hauptsächlich geistige Arbeit
Ort,1,Baden-Württemberg
Ort,2,Bayern
Ort,3,Berlin
Ort,4,Brandenburg
Ort,5,Bremen
Ort,6,Hamburg
Ort,7,Hessen
Ort,8,Mecklenburg-Vorpommern
Ort,9,Niedersachsen
Ort,10,Nordrhein-Westfalen
Ort,11,Rheinland-Pfalz
Ort,12,Saarland
Ort,13,Sachsen
Ort,14,Sachsen-Anhalt
Ort,15,Schleswig-Holstein
Ort,16,Thüringen
Ort,0,Ich arbeite nicht in Deutschland
Einkommen,1,<1000€
Einkommen,2,1000-2000€
Einkommen,3,2001-3000€
Einkommen,4,3001-4000€
Einkommen,5,4001-5000€
Einkommen,6,5001-6000€
Einkommen,7,6000-7000€
Einkommen,8,>7000€
Bildung,1,Kein Abschluss
Bildung,2,(Qualifizierter) Hauptschulabschluss
Bildung,3,Mittlere Reife
Bildung,4,Abitur
Bildung,5,Berufsausbildung
Bildung,6,Hochschul- oder Universitätsabschluss
Haus_Situation,1,Alleine lebend
Haus_Situation,2,Mit mindestens einer anderen Person im Haushalt lebend; keine Kinder unter 12 Jahren im Haushalt
Haus_Situation,3,Mit mindestens einer anderen Person im Haushalt lebend; mindestens 1 Kind unter 12 Jahren im Haushalt
